"portcode","name","unctad","netpascode","ets","ishistorical","isactive","additionaldata","rankorder"
"GRNAF","NAFPLION","GRNAF",NULL,NULL,False,True,NULL,16
"PHNAGA","NAGA","PHNAG",NULL,NULL,False,True,NULL,0
"JPNAIS","NAGA IS.",NULL,NULL,NULL,False,True,NULL,0
"JPNGH","NAGAHAMA","JPNGH",NULL,NULL,False,True,NULL,0
"INNPT","NAGAPATTINAM","INNPT",NULL,NULL,False,True,NULL,0
"INNPT","NAGAPPATTINAM","INNPT",NULL,NULL,False,True,NULL,0
"JPAIN","NAGASAKI","JPAIN",NULL,NULL,False,True,NULL,2
"INNAGL","NAGERCOIL",NULL,NULL,NULL,False,True,NULL,0
"JPNGO","NAGOYA","JPNGO",NULL,NULL,False,True,NULL,79
NULL,"Nagoya, Aichi",NULL,NULL,NULL,False,True,NULL,0
"FINAU","NAGU","FINAU",NULL,NULL,False,True,NULL,0
"FINAU","NAGU NAUVO","FINAU",NULL,NULL,False,True,NULL,0
"JPNAH","NAHA","JPNAH",NULL,NULL,False,True,NULL,4
"USNAHA","NAHMA",NULL,NULL,NULL,False,True,NULL,0
"FJNAIO","NAIKOROKORO",NULL,NULL,NULL,False,True,NULL,0
"CANAI","NAIN","CANAI",NULL,NULL,False,True,NULL,0
"GBNAIN","NAIRN",NULL,NULL,NULL,False,True,NULL,0
"KPNAJN","NAJIN",NULL,NULL,NULL,False,True,NULL,0
NULL,"NAKAGASUKU",NULL,NULL,NULL,False,True,NULL,0
"JPNAK","NAKAGUSUKU","JPNAK",NULL,NULL,False,True,NULL,0
"JPNAN","NAKANOSEKI","JPNAN",NULL,NULL,False,True,NULL,0
"JPNAT","NAKATSU","JPNAT",NULL,NULL,False,True,NULL,1
"NCNAK","NAKETY","NCNAK",NULL,NULL,False,True,NULL,0
"RUNJKA","NAKHODKA","RUNJK",NULL,NULL,False,True,NULL,114
NULL,"NAKHODKHA",NULL,NULL,NULL,False,True,NULL,0
"USNAKK","NAKNEK",NULL,NULL,NULL,False,True,NULL,0
NULL,"Nakolik River",NULL,NULL,NULL,False,True,NULL,0
"DKNAK","Nakskov","DKNAK",NULL,NULL,False,True,NULL,0
"DKNALQ","NALUNAQ",NULL,NULL,NULL,False,True,NULL,0
"VNNACN","NAM CAN",NULL,NULL,NULL,False,True,NULL,0
"PGATN","NAMATANAI","PGATN",NULL,NULL,False,True,NULL,0
"AUNAMA","NAMBUCCA",NULL,NULL,NULL,False,True,NULL,0
"AOMSZ","NAMIBE","AOMSZ",NULL,NULL,False,True,NULL,0
"JPNIT","NAMIKATA","JPNIT",NULL,NULL,False,True,NULL,0
"IDNAMA","NAMLEA",NULL,NULL,NULL,False,True,NULL,0
"FMNAID","NAMOLUK ISLAND",NULL,NULL,NULL,False,True,NULL,0
"FMNAMO","NAMONUITO",NULL,NULL,NULL,False,True,NULL,0
"USNAMK","NAMORIK",NULL,NULL,NULL,False,True,NULL,0
"KPNAM","NAMPO","KPNAM",NULL,NULL,False,True,NULL,0
"NOOSY","NAMSOS","NOOSY",NULL,NULL,False,True,NULL,28
"CANAMU","NAMU",NULL,NULL,NULL,False,True,NULL,0
"BENAM","NAMUR","BENAM",NULL,NULL,False,True,NULL,0
"CANNO","NANAIMO","CANNO",NULL,NULL,False,True,NULL,2
"JPNNO","Nanao","JPNNO",NULL,NULL,False,True,NULL,0
"MXNAN","NANCHITAL","MXNAN",NULL,NULL,False,True,NULL,0
"MXNAN","NANCHITAL DE LAZARO CARDENAS DEL RI","MXNAN",NULL,NULL,False,True,NULL,0
